stop_loss,profit_target,n_trades,win_rate,profit_factor,avg_ret,sharpe,is_current,is_optimal
0.02,0.025,222,0.6577,2.2847,0.011767,3.1573,False,False
0.02,0.03,222,0.6441,2.1111,0.011117,2.6735,False,False
0.02,0.05,222,0.6261,2.0573,0.011073,2.2219,False,False
0.02,0.07,222,0.6261,2.1358,0.011895,2.2307,False,False
0.02,0.1,222,0.6261,2.1637,0.012188,2.198,False,False
0.02,0.12,222,0.6261,2.1606,0.012155,2.1776,False,False
0.02,0.15,222,0.6261,2.1672,0.012225,2.1762,False,False
0.02,0.2,222,0.6261,2.1672,0.012225,2.1762,False,False
0.02,none,222,0.6261,2.1672,0.012225,2.1762,False,False
0.03,0.025,222,0.6937,2.3969,0.012743,3.1681,False,True
0.03,0.03,222,0.6802,2.2131,0.012093,2.7134,False,False
0.03,0.05,222,0.6622,2.158,0.012085,2.2844,False,False
0.03,0.07,222,0.6622,2.2368,0.012907,2.2894,False,False
0.03,0.1,222,0.6622,2.2648,0.0132,2.2565,False,False
0.03,0.12,222,0.6622,2.2616,0.013167,2.2368,False,False
0.03,0.15,222,0.6622,2.2684,0.013237,2.2351,False,False
0.03,0.2,222,0.6622,2.2684,0.013237,2.2351,False,False
0.03,none,222,0.6622,2.2684,0.013237,2.2351,False,False
0.04,0.025,222,0.6982,2.3272,0.012473,2.9468,False,False
0.04,0.03,222,0.6847,2.1541,0.011823,2.5315,True,False
0.04,0.05,222,0.6667,2.103,0.011816,2.1442,False,False
0.04,0.07,222,0.6667,2.1797,0.012637,2.1573,False,False
0.04,0.1,222,0.6667,2.207,0.01293,2.13,False,False
0.04,0.12,222,0.6667,2.204,0.012897,2.1117,False,False
0.04,0.15,222,0.6667,2.2105,0.012967,2.1108,False,False
0.04,0.2,222,0.6667,2.2105,0.012967,2.1108,False,False
0.04,none,222,0.6667,2.2105,0.012967,2.1108,False,False
0.05,0.025,222,0.6982,2.3026,0.012372,2.8569,False,False
0.05,0.03,222,0.6892,2.1834,0.011976,2.5263,False,False
0.05,0.05,222,0.6712,2.1304,0.011968,2.1447,False,False
0.05,0.07,222,0.6712,2.208,0.01279,2.1576,False,False
0.05,0.1,222,0.6712,2.2356,0.013082,2.1305,False,False
0.05,0.12,222,0.6712,2.2325,0.013049,2.1124,False,False
0.05,0.15,222,0.6712,2.2391,0.013119,2.1114,False,False
0.05,0.2,222,0.6712,2.2391,0.013119,2.1114,False,False
0.05,none,222,0.6712,2.2391,0.013119,2.1114,False,False
0.06,0.025,222,0.6982,2.2427,0.012119,2.7341,False,False
0.06,0.03,222,0.6892,2.13,0.011722,2.4204,False,False
0.06,0.05,222,0.6712,2.0806,0.011714,2.0596,False,False
0.06,0.07,222,0.6712,2.1563,0.012536,2.0775,False,False
0.06,0.1,222,0.6712,2.1833,0.012829,2.0537,False,False
0.06,0.12,222,0.6712,2.1803,0.012796,2.0362,False,False
0.06,0.15,222,0.6712,2.1867,0.012866,2.0358,False,False
0.06,0.2,222,0.6712,2.1867,0.012866,2.0358,False,False
0.06,none,222,0.6712,2.1867,0.012866,2.0358,False,False
0.07,0.025,222,0.6982,2.2471,0.012138,2.7213,False,False
0.07,0.03,222,0.6892,2.1339,0.011741,2.4101,False,False
0.07,0.05,222,0.6712,2.0842,0.011733,2.0526,False,False
0.07,0.07,222,0.6712,2.1601,0.012555,2.0707,False,False
0.07,0.1,222,0.6712,2.1872,0.012848,2.0471,False,False
0.07,0.12,222,0.6712,2.1841,0.012815,2.0297,False,False
0.07,0.15,222,0.6712,2.1906,0.012885,2.0293,False,False
0.07,0.2,222,0.6712,2.1906,0.012885,2.0293,False,False
0.07,none,222,0.6712,2.1906,0.012885,2.0293,False,False
0.08,0.025,222,0.6982,2.1938,0.011901,2.6111,False,False
0.08,0.03,222,0.6892,2.0862,0.011505,2.3149,False,False
0.08,0.05,222,0.6712,2.0396,0.011497,1.9754,False,False
0.08,0.07,222,0.6712,2.1139,0.012319,1.9982,False,False
0.08,0.1,222,0.6712,2.1404,0.012611,1.9776,False,False
0.08,0.12,222,0.6712,2.1374,0.012578,1.9608,False,False
0.08,0.15,222,0.6712,2.1437,0.012648,1.9609,False,False
0.08,0.2,222,0.6712,2.1437,0.012648,1.9609,False,False
0.08,none,222,0.6712,2.1437,0.012648,1.9609,False,False
0.1,0.025,222,0.6982,2.2496,0.012149,2.7049,False,False
0.1,0.03,222,0.6892,2.1361,0.011752,2.3968,False,False
0.1,0.05,222,0.6712,2.0863,0.011744,2.0431,False,False
0.1,0.07,222,0.6712,2.1623,0.012566,2.0615,False,False
0.1,0.1,222,0.6712,2.1894,0.012859,2.0383,False,False
0.1,0.12,222,0.6712,2.1863,0.012825,2.021,False,False
0.1,0.15,222,0.6712,2.1928,0.012895,2.0207,False,False
0.1,0.2,222,0.6712,2.1928,0.012895,2.0207,False,False
0.1,none,222,0.6712,2.1928,0.012895,2.0207,False,False
