stop_loss,profit_target,n_trades,win_rate,profit_factor,avg_ret,sharpe,is_current,is_optimal
0.02,0.025,63,0.5238,1.2712,0.004192,0.807,False,False
0.02,0.03,63,0.4921,1.0975,0.001815,0.2077,False,False
0.02,0.05,63,0.4286,1.1873,0.003789,0.3141,False,False
0.02,0.07,63,0.4286,1.5018,0.01015,0.8187,False,False
0.02,0.1,63,0.3333,1.0879,0.002048,0.0046,False,False
0.02,0.12,63,0.3333,1.123,0.002868,0.0585,False,False
0.02,0.15,63,0.3333,1.0747,0.001741,-0.0256,False,False
0.02,0.2,63,0.3333,1.0807,0.001881,-0.0199,False,False
0.02,none,63,0.3333,1.0984,0.002295,0.0081,False,False
0.03,0.025,63,0.5556,1.0709,0.001371,0.1082,False,False
0.03,0.03,63,0.5238,0.9489,-0.001158,-0.2845,False,False
0.03,0.05,63,0.4603,1.0665,0.001638,0.029,False,False
0.03,0.07,63,0.4603,1.3276,0.008062,0.5157,False,False
0.03,0.1,63,0.3651,1.0076,0.000215,-0.1297,False,False
0.03,0.12,63,0.3651,1.0596,0.001677,-0.0397,False,False
0.03,0.15,63,0.3651,1.0195,0.00055,-0.1109,False,False
0.03,0.2,63,0.3651,1.0167,0.00047,-0.1177,False,False
0.03,none,63,0.3651,1.0314,0.000883,-0.0919,False,False
0.04,0.025,63,0.619,1.2886,0.005419,0.6358,False,False
0.04,0.03,63,0.6032,1.1929,0.004149,0.3688,False,False
0.04,0.05,63,0.5556,1.3751,0.008718,0.5692,False,False
0.04,0.07,63,0.5556,1.6516,0.015143,0.9102,False,False
0.04,0.1,63,0.4603,1.2836,0.007779,0.2744,False,False
0.04,0.12,63,0.4603,1.3475,0.009531,0.3469,False,False
0.04,0.15,63,0.4603,1.3794,0.010405,0.3696,False,False
0.04,0.2,63,0.4603,1.4076,0.01118,0.3746,False,False
0.04,none,63,0.4603,1.4227,0.011594,0.3872,False,False
0.05,0.025,63,0.7143,1.5321,0.009531,0.9894,False,False
0.05,0.03,63,0.6984,1.3806,0.007857,0.6617,False,False
0.05,0.05,63,0.6508,1.5116,0.011793,0.6788,False,False
0.05,0.07,63,0.6508,1.7785,0.017944,0.9475,False,False
0.05,0.1,63,0.5556,1.3314,0.009413,0.3015,True,False
0.05,0.12,63,0.5556,1.393,0.011165,0.3648,False,False
0.05,0.15,63,0.5556,1.4238,0.012039,0.3844,False,False
0.05,0.2,63,0.5556,1.4511,0.012814,0.388,False,False
0.05,none,63,0.5556,1.4657,0.013228,0.3991,False,False
0.06,0.025,63,0.7302,1.5961,0.010438,1.0357,False,True
0.06,0.03,63,0.7143,1.433,0.008764,0.7123,False,False
0.06,0.05,63,0.6667,1.5943,0.01346,0.759,False,False
0.06,0.07,63,0.6667,1.8659,0.019611,1.0112,False,False
0.06,0.1,63,0.5714,1.3727,0.010724,0.3427,False,False
0.06,0.12,63,0.5714,1.449,0.012921,0.4168,False,False
0.06,0.15,63,0.5714,1.4789,0.013781,0.432,False,False
0.06,0.2,63,0.5714,1.5058,0.014555,0.433,False,False
0.06,none,63,0.5714,1.5202,0.014969,0.443,False,False
0.07,0.025,63,0.746,1.4799,0.009218,0.7634,False,False
0.07,0.03,63,0.7302,1.3438,0.007544,0.5124,False,False
0.07,0.05,63,0.6825,1.5163,0.01257,0.6281,False,False
0.07,0.07,63,0.6825,1.7804,0.019,0.8878,False,False
0.07,0.1,63,0.5873,1.3204,0.009849,0.2752,False,False
0.07,0.12,63,0.5873,1.3918,0.012046,0.348,False,False
0.07,0.15,63,0.5873,1.4198,0.012905,0.3648,False,False
0.07,0.2,63,0.5873,1.445,0.01368,0.3692,False,False
0.07,none,63,0.5873,1.4585,0.014094,0.3795,False,False
0.08,0.025,63,0.746,1.3525,0.007409,0.5365,False,False
0.08,0.03,63,0.7302,1.2415,0.005735,0.3297,False,False
0.08,0.05,63,0.6825,1.4114,0.010761,0.4883,False,False
0.08,0.07,63,0.6825,1.6572,0.01719,0.7512,False,False
0.08,0.1,63,0.5873,1.2408,0.007878,0.182,False,False
0.08,0.12,63,0.5873,1.308,0.010074,0.2565,False,False
0.08,0.15,63,0.5873,1.3343,0.010934,0.2762,False,False
0.08,0.2,63,0.5873,1.3579,0.011709,0.2847,False,False
0.08,none,63,0.5873,1.3706,0.012123,0.2957,False,False
0.1,0.025,63,0.7778,1.7929,0.012965,1.0256,False,False
0.1,0.03,63,0.7619,1.5917,0.011291,0.7524,False,False
0.1,0.05,63,0.7143,1.7366,0.016087,0.7802,False,False
0.1,0.07,63,0.7143,2.031,0.022517,1.0138,False,False
0.1,0.1,63,0.619,1.441,0.012731,0.3632,False,False
0.1,0.12,63,0.619,1.5171,0.014928,0.4281,False,False
0.1,0.15,63,0.619,1.5469,0.015788,0.4412,False,False
0.1,0.2,63,0.619,1.5737,0.016562,0.4417,False,False
0.1,none,63,0.619,1.588,0.016976,0.4505,False,False
