stop_loss,profit_target,n_trades,win_rate,profit_factor,avg_ret,sharpe,is_current,is_optimal
0.02,0.025,7,0.5714,5.9679,0.055227,4.3833,False,False
0.02,0.03,7,0.5714,5.9679,0.055227,4.3833,False,False
0.02,0.05,7,0.5714,6.7113,0.063492,4.3176,False,False
0.02,0.07,7,0.5714,6.8732,0.065291,4.356,False,False
0.02,0.1,7,0.2857,1.6894,0.024271,1.0392,False,False
0.02,0.12,7,0.1429,1.1562,0.006033,0.1811,False,False
0.02,0.15,7,0.1429,1.1562,0.006033,0.1811,False,False
0.02,0.2,7,0.1429,1.1562,0.006033,0.1811,False,False
0.02,none,7,0.1429,1.2568,0.009919,0.2375,False,False
0.03,0.025,7,0.7143,4.1321,0.053535,3.4061,False,False
0.03,0.03,7,0.7143,4.3457,0.057184,3.3492,False,False
0.03,0.05,7,0.7143,4.8292,0.065448,3.4856,True,False
0.03,0.07,7,0.7143,5.0965,0.070017,3.6408,False,False
0.03,0.1,7,0.2857,1.2681,0.012573,0.3807,False,False
0.03,0.12,7,0.2857,0.9664,-0.001574,-0.1126,False,False
0.03,0.15,7,0.2857,0.9664,-0.001574,-0.1126,False,False
0.03,0.2,7,0.2857,0.9664,-0.001574,-0.1126,False,False
0.03,none,7,0.2857,1.0493,0.002312,-0.0087,False,False
0.04,0.025,7,0.7143,4.1321,0.053535,3.4061,False,False
0.04,0.03,7,0.7143,4.3457,0.057184,3.3492,False,False
0.04,0.05,7,0.7143,4.8292,0.065448,3.4856,False,False
0.04,0.07,7,0.7143,5.0965,0.070017,3.6408,False,False
0.04,0.1,7,0.2857,1.2681,0.012573,0.3807,False,False
0.04,0.12,7,0.2857,0.9664,-0.001574,-0.1126,False,False
0.04,0.15,7,0.2857,0.9664,-0.001574,-0.1126,False,False
0.04,0.2,7,0.2857,0.9664,-0.001574,-0.1126,False,False
0.04,none,7,0.2857,1.0493,0.002312,-0.0087,False,False
0.05,0.025,7,0.8571,7.7938,0.069785,4.4391,False,False
0.05,0.03,7,0.8571,8.1491,0.073435,4.3693,False,False
0.05,0.05,7,0.8571,8.9536,0.081699,4.5216,False,True
0.05,0.07,7,0.7143,4.6084,0.068207,2.9967,False,False
0.05,0.1,7,0.2857,1.284,0.013156,0.3384,False,False
0.05,0.12,7,0.2857,0.9786,-0.000991,-0.098,False,False
0.05,0.15,7,0.2857,0.9786,-0.000991,-0.098,False,False
0.05,0.2,7,0.2857,0.9786,-0.000991,-0.098,False,False
0.05,none,7,0.2857,1.0625,0.002895,-0.005,False,False
0.06,0.025,7,0.8571,7.7938,0.069785,4.4391,False,False
0.06,0.03,7,0.8571,8.1491,0.073435,4.3693,False,False
0.06,0.05,7,0.8571,8.9536,0.081699,4.5216,False,False
0.06,0.07,7,0.7143,4.6084,0.068207,2.9967,False,False
0.06,0.1,7,0.2857,1.284,0.013156,0.3384,False,False
0.06,0.12,7,0.2857,0.9786,-0.000991,-0.098,False,False
0.06,0.15,7,0.2857,0.9786,-0.000991,-0.098,False,False
0.06,0.2,7,0.2857,0.9786,-0.000991,-0.098,False,False
0.06,none,7,0.2857,1.0625,0.002895,-0.005,False,False
0.07,0.025,7,0.8571,7.7938,0.069785,4.4391,False,False
0.07,0.03,7,0.8571,8.1491,0.073435,4.3693,False,False
0.07,0.05,7,0.8571,8.9536,0.081699,4.5216,False,False
0.07,0.07,7,0.8571,8.5662,0.07772,3.3294,False,False
0.07,0.1,7,0.4286,1.6014,0.022669,0.594,False,False
0.07,0.12,7,0.4286,1.2261,0.008522,0.1578,False,False
0.07,0.15,7,0.4286,1.2261,0.008522,0.1578,False,False
0.07,0.2,7,0.4286,1.2261,0.008522,0.1578,False,False
0.07,none,7,0.4286,1.3292,0.012408,0.2076,False,False
0.08,0.025,7,0.8571,5.8872,0.066459,3.9904,False,False
0.08,0.03,7,0.8571,6.1556,0.070108,3.9394,False,False
0.08,0.05,7,0.8571,6.7633,0.078373,4.0905,False,False
0.08,0.07,7,0.8571,6.4707,0.074393,3.0266,False,False
0.08,0.1,7,0.4286,1.4716,0.019343,0.4846,False,False
0.08,0.12,7,0.4286,1.1267,0.005195,0.0649,False,False
0.08,0.15,7,0.4286,1.1267,0.005195,0.0649,False,False
0.08,0.2,7,0.4286,1.1267,0.005195,0.0649,False,False
0.08,none,7,0.4286,1.2214,0.009081,0.1281,False,False
0.1,0.025,7,0.8571,3.5191,0.057308,3.0003,False,False
0.1,0.03,7,0.8571,3.6795,0.060957,2.9817,False,False
0.1,0.05,7,0.8571,4.0428,0.069222,3.1278,False,False
0.1,0.07,7,0.8571,3.8679,0.065242,2.3214,False,False
0.1,0.1,7,0.4286,0.9669,-0.002065,-0.1092,False,False
0.1,0.12,7,0.4286,0.7403,-0.016212,-0.4445,False,False
0.1,0.15,7,0.4286,0.7403,-0.016212,-0.4445,False,False
0.1,0.2,7,0.4286,0.7403,-0.016212,-0.4445,False,False
0.1,none,7,0.4286,0.8025,-0.012326,-0.3152,False,False
