stop_loss,profit_target,n_trades,win_rate,profit_factor,avg_ret,sharpe,is_current,is_optimal
0.02,0.025,10,0.8,10.3985,0.028832,6.3018,False,True
0.02,0.03,10,0.8,10.3985,0.028832,6.3018,False,False
0.02,0.05,10,0.8,11.0692,0.030889,5.794,False,False
0.02,0.07,10,0.8,10.1354,0.028024,5.013,False,False
0.02,0.1,10,0.8,11.3015,0.031602,4.8241,False,False
0.02,0.12,10,0.8,7.0787,0.018647,4.7022,False,False
0.02,0.15,10,0.8,7.0787,0.018647,4.7022,False,False
0.02,0.2,10,0.8,7.0787,0.018647,4.7022,False,False
0.02,none,10,0.8,7.0787,0.018647,4.7022,False,False
0.03,0.025,10,0.8,7.2291,0.027487,5.4446,True,False
0.03,0.03,10,0.8,7.2291,0.027487,5.4446,False,False
0.03,0.05,10,0.8,7.6953,0.029544,5.071,False,False
0.03,0.07,10,0.8,7.0461,0.026679,4.3847,False,False
0.03,0.1,10,0.8,7.8568,0.030257,4.293,False,False
0.03,0.12,10,0.8,4.9211,0.017302,3.8109,False,False
0.03,0.15,10,0.8,4.9211,0.017302,3.8109,False,False
0.03,0.2,10,0.8,4.9211,0.017302,3.8109,False,False
0.03,none,10,0.8,4.9211,0.017302,3.8109,False,False
0.04,0.025,10,0.8,7.2364,0.027491,5.2236,False,False
0.04,0.03,10,0.8,7.2364,0.027491,5.2236,False,False
0.04,0.05,10,0.8,7.7031,0.029548,4.9068,False,False
0.04,0.07,10,0.8,7.0533,0.026684,4.2548,False,False
0.04,0.1,10,0.8,7.8648,0.030261,4.1687,False,False
0.04,0.12,10,0.8,4.9261,0.017307,3.7134,False,False
0.04,0.15,10,0.8,4.9261,0.017307,3.7134,False,False
0.04,0.2,10,0.8,4.9261,0.017307,3.7134,False,False
0.04,none,10,0.8,4.9261,0.017307,3.7134,False,False
0.05,0.025,10,0.8,7.2364,0.027491,5.2236,False,False
0.05,0.03,10,0.8,7.2364,0.027491,5.2236,False,False
0.05,0.05,10,0.8,7.7031,0.029548,4.9068,False,False
0.05,0.07,10,0.8,7.0533,0.026684,4.2548,False,False
0.05,0.1,10,0.8,7.8648,0.030261,4.1687,False,False
0.05,0.12,10,0.8,4.9261,0.017307,3.7134,False,False
0.05,0.15,10,0.8,4.9261,0.017307,3.7134,False,False
0.05,0.2,10,0.8,4.9261,0.017307,3.7134,False,False
0.05,none,10,0.8,4.9261,0.017307,3.7134,False,False
0.06,0.025,10,0.8,7.2364,0.027491,5.2236,False,False
0.06,0.03,10,0.8,7.2364,0.027491,5.2236,False,False
0.06,0.05,10,0.8,7.7031,0.029548,4.9068,False,False
0.06,0.07,10,0.8,7.0533,0.026684,4.2548,False,False
0.06,0.1,10,0.8,7.8648,0.030261,4.1687,False,False
0.06,0.12,10,0.8,4.9261,0.017307,3.7134,False,False
0.06,0.15,10,0.8,4.9261,0.017307,3.7134,False,False
0.06,0.2,10,0.8,4.9261,0.017307,3.7134,False,False
0.06,none,10,0.8,4.9261,0.017307,3.7134,False,False
0.07,0.025,10,0.8,7.2364,0.027491,5.2236,False,False
0.07,0.03,10,0.8,7.2364,0.027491,5.2236,False,False
0.07,0.05,10,0.8,7.7031,0.029548,4.9068,False,False
0.07,0.07,10,0.8,7.0533,0.026684,4.2548,False,False
0.07,0.1,10,0.8,7.8648,0.030261,4.1687,False,False
0.07,0.12,10,0.8,4.9261,0.017307,3.7134,False,False
0.07,0.15,10,0.8,4.9261,0.017307,3.7134,False,False
0.07,0.2,10,0.8,4.9261,0.017307,3.7134,False,False
0.07,none,10,0.8,4.9261,0.017307,3.7134,False,False
0.08,0.025,10,0.8,7.2364,0.027491,5.2236,False,False
0.08,0.03,10,0.8,7.2364,0.027491,5.2236,False,False
0.08,0.05,10,0.8,7.7031,0.029548,4.9068,False,False
0.08,0.07,10,0.8,7.0533,0.026684,4.2548,False,False
0.08,0.1,10,0.8,7.8648,0.030261,4.1687,False,False
0.08,0.12,10,0.8,4.9261,0.017307,3.7134,False,False
0.08,0.15,10,0.8,4.9261,0.017307,3.7134,False,False
0.08,0.2,10,0.8,4.9261,0.017307,3.7134,False,False
0.08,none,10,0.8,4.9261,0.017307,3.7134,False,False
0.1,0.025,10,0.8,7.2364,0.027491,5.2236,False,False
0.1,0.03,10,0.8,7.2364,0.027491,5.2236,False,False
0.1,0.05,10,0.8,7.7031,0.029548,4.9068,False,False
0.1,0.07,10,0.8,7.0533,0.026684,4.2548,False,False
0.1,0.1,10,0.8,7.8648,0.030261,4.1687,False,False
0.1,0.12,10,0.8,4.9261,0.017307,3.7134,False,False
0.1,0.15,10,0.8,4.9261,0.017307,3.7134,False,False
0.1,0.2,10,0.8,4.9261,0.017307,3.7134,False,False
0.1,none,10,0.8,4.9261,0.017307,3.7134,False,False
