stop_loss,profit_target,n_trades,win_rate,profit_factor,avg_ret,sharpe,is_current,is_optimal
0.02,0.025,60,0.5,0.9769,-0.000428,-0.2099,False,False
0.02,0.03,60,0.45,0.9188,-0.001602,-0.4811,False,False
0.02,0.05,60,0.4333,1.2227,0.004482,0.6982,False,False
0.02,0.07,60,0.4333,1.303,0.006098,0.7562,False,False
0.02,0.1,60,0.4167,1.2741,0.005552,0.6192,False,False
0.02,0.12,60,0.4167,1.3018,0.006115,0.6188,False,False
0.02,0.15,60,0.4167,1.3405,0.006899,0.6865,False,False
0.02,0.2,60,0.4167,1.3656,0.007407,0.7199,False,False
0.02,none,60,0.4167,1.3656,0.007407,0.7199,False,False
0.03,0.025,60,0.5333,0.9156,-0.001726,-0.5004,False,False
0.03,0.03,60,0.5333,0.95,-0.001022,-0.3146,False,False
0.03,0.05,60,0.5167,1.2639,0.005612,0.7684,False,False
0.03,0.07,60,0.5167,1.3515,0.007476,0.8248,False,False
0.03,0.1,60,0.5,1.3289,0.00704,0.7048,False,False
0.03,0.12,60,0.5,1.3605,0.007717,0.7058,False,False
0.03,0.15,60,0.5,1.3972,0.008501,0.7637,False,False
0.03,0.2,60,0.5,1.4209,0.009009,0.7914,False,False
0.03,none,60,0.5,1.4209,0.009009,0.7914,False,False
0.04,0.025,60,0.5833,1.0036,7.5e-05,-0.0864,False,False
0.04,0.03,60,0.5833,1.0371,0.000778,0.0314,False,False
0.04,0.05,60,0.5667,1.3398,0.007412,0.9181,True,False
0.04,0.07,60,0.5667,1.4458,0.009726,0.9825,False,False
0.04,0.1,60,0.55,1.4248,0.009324,0.8602,False,False
0.04,0.12,60,0.55,1.4556,0.01,0.8488,False,False
0.04,0.15,60,0.55,1.4913,0.010785,0.8976,False,False
0.04,0.2,60,0.55,1.5145,0.011292,0.9195,False,False
0.04,none,60,0.55,1.5145,0.011292,0.9195,False,False
0.05,0.025,60,0.65,1.1969,0.0038,0.5249,False,False
0.05,0.03,60,0.65,1.2356,0.004548,0.5834,False,False
0.05,0.05,60,0.6333,1.5938,0.011959,1.3344,False,True
0.05,0.07,60,0.6333,1.7087,0.014272,1.3331,False,False
0.05,0.1,60,0.6167,1.6831,0.013848,1.1957,False,False
0.05,0.12,60,0.6167,1.7165,0.014525,1.16,False,False
0.05,0.15,60,0.6167,1.7551,0.015309,1.1962,False,False
0.05,0.2,60,0.6167,1.7802,0.015817,1.2087,False,False
0.05,none,60,0.6167,1.7802,0.015817,1.2087,False,False
0.06,0.025,60,0.65,1.1622,0.003225,0.3905,False,False
0.06,0.03,60,0.65,1.1998,0.003972,0.4559,False,False
0.06,0.05,60,0.6333,1.5704,0.011659,1.2252,False,False
0.06,0.07,60,0.6333,1.6836,0.013972,1.2416,False,False
0.06,0.1,60,0.6167,1.6585,0.013548,1.1156,False,False
0.06,0.12,60,0.6167,1.6914,0.014225,1.0866,False,False
0.06,0.15,60,0.6167,1.7295,0.015009,1.1228,False,False
0.06,0.2,60,0.6167,1.7542,0.015517,1.1363,False,False
0.06,none,60,0.6167,1.7542,0.015517,1.1363,False,False
0.07,0.025,60,0.65,1.044,0.000973,0.0162,False,False
0.07,0.03,60,0.65,1.0777,0.001721,0.0942,False,False
0.07,0.05,60,0.6333,1.4146,0.009407,0.8182,False,False
0.07,0.07,60,0.6333,1.5165,0.01172,0.884,False,False
0.07,0.1,60,0.6167,1.4949,0.011297,0.793,False,False
0.07,0.12,60,0.6167,1.5246,0.011974,0.788,False,False
0.07,0.15,60,0.6167,1.5589,0.012758,0.8275,False,False
0.07,0.2,60,0.6167,1.5812,0.013265,0.8459,False,False
0.07,none,60,0.6167,1.5812,0.013265,0.8459,False,False
0.08,0.025,60,0.65,1.037,0.000824,-0.0036,False,False
0.08,0.03,60,0.65,1.0705,0.001571,0.0752,False,False
0.08,0.05,60,0.6333,1.4053,0.009258,0.7982,False,False
0.08,0.07,60,0.6333,1.5066,0.011571,0.8662,False,False
0.08,0.1,60,0.6167,1.4852,0.011147,0.7767,False,False
0.08,0.12,60,0.6167,1.5147,0.011824,0.7727,False,False
0.08,0.15,60,0.6167,1.5488,0.012608,0.8124,False,False
0.08,0.2,60,0.6167,1.5709,0.013116,0.831,False,False
0.08,none,60,0.6167,1.5709,0.013116,0.831,False,False
0.1,0.025,60,0.65,1.1277,0.002617,0.221,False,False
0.1,0.03,60,0.65,1.1642,0.003364,0.2864,False,False
0.1,0.05,60,0.6333,1.525,0.011051,0.9796,False,False
0.1,0.07,60,0.6333,1.6349,0.013364,1.0269,False,False
0.1,0.1,60,0.6167,1.6109,0.01294,0.9273,False,False
0.1,0.12,60,0.6167,1.6429,0.013617,0.9133,False,False
0.1,0.15,60,0.6167,1.6799,0.014401,0.9495,False,False
0.1,0.2,60,0.6167,1.7038,0.014909,0.9651,False,False
0.1,none,60,0.6167,1.7038,0.014909,0.9651,False,False
